area,year,average_rain_fall_mm_per_year,avg_temp,pesticide_tonnes,item_y,yield_hg/ha
Albania,1990,1485.0,16.37,121.0,Maize,36613
Albania,1990,1485.0,16.37,121.0,Potatoes,66667
Albania,1990,1485.0,16.37,121.0,"Rice, paddy",23333
Albania,1990,1485.0,16.37,121.0,Sorghum,12500
Albania,1990,1485.0,16.37,121.0,Soybeans,7000
Albania,1990,1485.0,16.37,121.0,Wheat,30197
Albania,1991,1485.0,15.36,121.0,Maize,29068
Albania,1991,1485.0,15.36,121.0,Potatoes,77818
Albania,1991,1485.0,15.36,121.0,"Rice, paddy",28538
Albania,1991,1485.0,15.36,121.0,Sorghum,6667
Albania,1991,1485.0,15.36,121.0,Soybeans,6066
Albania,1991,1485.0,15.36,121.0,Wheat,20698
Albania,1992,1485.0,16.06,121.0,Maize,24876
Albania,1992,1485.0,16.06,121.0,Potatoes,82920
Albania,1992,1485.0,16.06,121.0,"Rice, paddy",40000
Albania,1992,1485.0,16.06,121.0,Sorghum,3747
Albania,1992,1485.0,16.06,121.0,Soybeans,4507
Albania,1992,1485.0,16.06,121.0,Wheat,24388
Albania,1993,1485.0,16.05,121.0,Maize,24185
Albania,1993,1485.0,16.05,121.0,Potatoes,98446
Albania,1993,1485.0,16.05,121.0,"Rice, paddy",41786
Albania,1993,1485.0,16.05,121.0,Soybeans,7998
Albania,1993,1485.0,16.05,121.0,Wheat,29976
Albania,1994,1485.0,16.96,201.0,Maize,25848
Albania,1994,1485.0,16.96,201.0,Potatoes,81404
Albania,1994,1485.0,16.96,201.0,Soybeans,7927
Albania,1994,1485.0,16.96,201.0,Wheat,24745
Albania,1995,1485.0,15.67,251.0,Maize,31300
Albania,1995,1485.0,15.67,251.0,Potatoes,111323
Albania,1995,1485.0,15.67,251.0,Soybeans,11791
Albania,1995,1485.0,15.67,251.0,Wheat,28703
Albania,1996,1485.0,15.64,313.96,Maize,32604
Albania,1996,1485.0,15.64,313.96,Potatoes,106138
Albania,1996,1485.0,15.64,313.96,Soybeans,15480
